Designator,Manufacturer Part Number or Speed SKU ,Qty,Link,,,,,
">  C1, C2",CL10A106MA8NRNC,2,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.html,,,,,
">  C4, C9, C10",CL21A225KBQNNNE,3,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A225KBQNNNE_C377773.html?s_z=n_C377773,,,,,
C5,HV101M6R3E055ETR,1,https://www.lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_Capxon-International-Elec-HV101M6R3E055ETR_C65235.html?s_z=n_C65235,,,,,
C6,CL31A107MQHNNNE,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL31A107MQHNNNE_C15008.html?s_z=n_C15008,,,,,
">  C3, C7, C8, C11-C14, C19",CC0603KRX7R9BB104,8,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603KRX7R9BB104_C14663.html?s_z=n_C14663,,,,,
C15,126RV0157,1,https://www.lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_KNSCHA-126RV0157_C7461288.html?s_z=n_C7461288,,,,,
">  C16, C17",0603B222K500NT,2,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603B222K500NT_C1604.html?s_z=n_C1604,,,,,
C18,CL21A475KAQNNNE,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.html?s_z=n_C1779,,,,,
D1,WP169XID,1,https://www.mouser.fr/ProductDetail/Kingbright/WP169XID?qs=DkZGzo4b%252BTI3yOiggkw3fg%3D%3D,,,,,
D2,"Diffused version, common cathode",1,https://fr.aliexpress.com/item/1005004567358995.html?spm=a2g0o.order_list.order_list_main.202.65f15e5b1XHjut&gatewayAdapt=glo2fra,,,,,
D3,A-SP1102AR6GHC-A01-2C,1,https://www.lcsc.com/product-detail/LED-Indication-Discrete_Amicc-A-SP1102AR6GHC-A01-2C_C5160724.html?s_z=n_C5160724,,,,,
J2,SJ-3566AN,1,https://www.mouser.fr/ProductDetail/Same-Sky/SJ-3566AN?qs=WyjlAZoYn52HouuVvH6sjg%3D%3D,,,,,
J3,S2B-PH-K-S(LF)(SN),1,https://www.lcsc.com/product-detail/Wire-To-Board-Connector_JST-S2B-PH-K-S-LF-SN_C173752.html?s_z=n_JST%20PH,,,,,
">  J1, J4",M20-7810345R,2,https://www.mouser.fr/ProductDetail/Harwin/M20-7810345R?qs=k41KVqW3ymoME5l5QJ2Feg%3D%3D,,,,,
L1,SWPA6045S6R8MT,1,https://www.digikey.fr/en/products/detail/shenzhen-sunlord-electronics-co-ltd/SWPA6045S6R8MT/14119994?s=N4IgTCBcDaIMoHUAKBBAbABgCwFY5oCUAOAWQBUQBdAXyA,,,,,
R1,0805W8F1001T5E,1,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8F1001T5E_C17513.html?s_z=n_C17513,,,,,
