Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
T1,Conn_01x01_Male,rond_touch_zone,88.999997,-17.499999,0.0,top
T2,Conn_01x01_Male,rond_touch_zone,79.0,-25.5,0.0,top
T3,Conn_01x01_Male,rond_touch_zone,69.0,-33.5,0.0,top
T4,Conn_01x01_Male,rond_touch_zone,89.0,-33.5,0.0,top
T5,Conn_01x01_Male,rond_touch_zone,79.0,-41.5,0.0,top
T6,Conn_01x01_Male,rond_touch_zone,69.0,-49.5,0.0,top
T7,Conn_01x01_Male,rond_touch_zone,89.0,-49.5,0.0,top
T8,Conn_01x01_Male,rond_touch_zone,79.0,-57.5,0.0,top
T9,Conn_01x01_Male,rond_touch_zone,69.0,-65.5,0.0,top
T10,Conn_01x01_Male,rond_touch_zone,89.0,-65.5,0.0,top
T11,Conn_01x01_Male,rond_touch_zone,79.0,-73.5,0.0,top
T12,Conn_01x01_Male,rond_touch_zone,69.0,-81.5,0.0,top
